21:14:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:14:36     all    8.26    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   90.15
21:14:37     all    8.34    0.00    1.08    0.25    0.00    0.00    0.00    0.00    0.00   90.33
21:14:38     all    8.69    0.00    0.84    0.00    0.00    0.00    0.00    0.00    0.00   90.48
21:14:39     all    9.09    0.00    1.00    0.25    0.00    0.00    0.00    0.00    0.00   89.66
21:14:40     all    8.50    0.00    1.08    0.00    0.00    0.00    0.00    0.00    0.00   90.42
21:14:41     all   10.45    0.00    0.84    0.92    0.00    0.00    0.00    0.00    0.00   87.79
21:14:42     all    9.02    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   89.98
21:14:43     all    9.34    0.00    1.08    0.08    0.00    0.00    0.00    0.00    0.00   89.49
21:14:44     all   10.11    0.00    1.09    0.25    0.00    0.00    0.00    0.00    0.00   88.55
21:14:45     all   10.44    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   88.39
21:14:46     all   11.79    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   87.12
21:14:47     all   10.68    0.00    0.92    0.00    0.00    0.00    0.00    0.00    0.00   88.40
21:14:48     all   10.57    0.00    1.08    0.00    0.00    0.00    0.00    0.00    0.00   88.34
21:14:49     all   13.11    0.00    0.92    0.25    0.00    0.00    0.00    0.00    0.00   85.73
21:14:50     all    9.44    0.00    0.84    0.00    0.00    0.00    0.00    0.00    0.00   89.72
21:14:51     all    8.53    0.00    0.84    0.00    0.00    0.00    0.00    0.00    0.00   90.64
21:14:52     all    8.51    0.00    0.92    0.00    0.00    0.00    0.00    0.00    0.00   90.58
21:14:53     all    8.52    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   90.81
21:14:54     all    8.42    0.00    0.75    0.17    0.00    0.00    0.00    0.00    0.00   90.66
21:14:55     all    8.86    0.00    0.92    0.00    0.00    0.00    0.00    0.00    0.00   90.22
